obsid,ra_obs,dec_obs,snru,snrg,snrr,snri,snrz,objtype,z,z_err,magtype,mag1,mag2,mag3,mag4,mag5,mag6,mag7,tsource,ra,dec,teff,teff_err,logg,logg_err,feh,feh_err,rv,rv_err,ra_epoch2000,dec_epoch2000,source_id,ra_x,ra_error,dec_x,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,visibility_periods_used,ruwe,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,angDist,l,b,x,y,vx,vy,vz,r,theta,phi,vr,vtheta,vphi,R,T,vR,vT,Vtot
120607134,121.54964,5.787561,4.02,34.95,74.02,97.27,74.82,None,1.37450422647979,1.78457E-05,None,99,99,99,99,11,10.38,10.26,None,121.54964,5.787561,4618.85,91.31,1.664,0.15,-1.068,0.088,-134.95,5.35,121.54962361144,5.7875702262,3.09583342505568E+018,121.54964779973,0.0142,5.78751744758,0.0098,0.2382,0.0165,14.4151,13.051,5.415,0.018,-11.875,0.012,683.27,0.081,7.981,95,20,1.041,168746,23.6414,12.619281,72993.2,39.431,13.180336,136520,11.909907,1.270429,-125.65,1.9,16,5500,3.5,1.14941215496066E+017,1.23766428509307E+018,,0.00276,0.002851,0.003796,12.619281,0.00276,168746,0.067444,216.309962172095,19.2520684691671,3.1937920215653,-2.34692854484191,151.091668619566,-211.051719955898,-9.59774470886569,11.7150619372232,1.45236108550487,-0.203141860862154,188.094175524789,32.0543863181378,-176.229601363876,3.96674300176416,-2.50848316624032,-105.467841914401,-236.946692526237,449.58085257221
120608128,120.60192,6.3392062,11.01,99.33,205.16,295.84,239.13,None,1.20694913736378,1.40097E-05,None,99,0,11.3,0,9.74,9.1,8.98,None,120.60192,6.3392062,4433.03,23.63,1.028,0.039,-1.602,0.022,-35.64,4.2,120.60194308617,6.33926166406,3.09615482604793E+018,120.60194665815,0.0152,6.33920065013,0.011,0.2631,0.018,14.6263,13.751,0.799,0.018,-13.728,0.013,1257.89,0.113,21.88,31,20,1.074,499183,159.881,11.441717,207107,146.75,12.048053,418470,10.693734,1.354319,-29.17,0.37,11,5000,3,1.15601206021318E+017,1.23766106923532E+018,,0.002777,0.002894,0.003813,11.441717,0.002777,499183,0.216082,215.341821286028,18.6570359373798,2.93747654244543,-2.08307000138636,106.27838827519,-203.807492192055,-92.4890778381434,11.3956557947934,1.46389449936216,-0.184896282195069,131.256373959893,107.112474766608,-180.794953356643,3.60409016364345,-2.52534483582988,-67.0557897182779,-219.623469912856,442.924529396558
120609115,120.21425,8.119656,0.7,5.26,13.79,16.74,9.93,None,0.455821907134665,4.53314E-05,None,99,99,99,99,9.79,9.34,9.24,None,120.21425,8.119656,5018.38,262.2,1.723,0.435,-1.169,0.249,-9.97,13.59,120.21424637824,8.11964203121,3.1460724821499E+018,120.21430395935,0.0152,8.11960288544,0.0108,0.7126,0.0173,41.0811,15.559,12.826,0.019,-8.808,0.013,1063.67,0.104,15.09,31,18,0.973,688860,159.853,11.092039,338707,148.902,11.513981,501506,10.497206,1.016775,-14.35,0.67,12,5500,3.5,,1.23767112482783E+018,,0.002767,0.002831,0.003795,11.092039,0.002767,688860,0.051918,213.474478132207,19.0997924496636,1.1061082395709,-0.731408725540603,63.6083665400209,-65.89321809144,48.229153163388,9.34609325769685,1.52164542882255,-0.078433247370513,70.8621160215071,-44.7944710408341,-60.7067447616103,1.3271955672418,-2.5579102146411,-58.2808174657467,-70.4210727724931,304.999555951876
121502131,144.81119,43.329871,7.73,31.04,47.87,61.99,44.18,None,1.01661729505626,3.70256E-05,None,13.17,12.62,12.45,13.54,12.83,11.44,11.01,None,144.81119,43.329871,5127.39,109.79,2.689,0.18,-1.843,0.106,-80.91,11.1,144.81119378669,43.32986708351,8.14772136620581E+017,144.81129686747,0.0111,43.3296316685,0.0097,0.7315,0.0146,50.1134,55.59,16.871,0.012,-52.968,0.013,774.96,0.047,3.42,31,20,0.979,161792,26.4961,12.664977,83321.7,41.8426,13.036647,113084,12.11439,0.922256,-83.74,1.39,15,6000,3.5,1.59991448112746E+017,1.23765787540455E+018,,0.002761,0.002843,0.003797,12.664977,0.002761,161792,0.017237,177.215510916644,48.2173976999194,0.90980093924705,0.044249805307954,94.372090967169,-333.397747014636,98.5941455860866,9.16676453492888,1.45936165827218,0.004857346235697,103.139586407796,-87.661409477514,-333.852210078668,0.913936443178512,3.09316792014943,-95.9998095647168,-332.680361718336,583.564309634453
121504105,147.3472,44.855148,20.85,74.98,135.1,172.06,139.89,None,1.08483464603185,3.01542E-05,None,12.11,11.57,11.31,12.53,11.78,10.26,9.82,None,147.3472,44.855148,5095.75,34.8,2.525,0.057,-1.752,0.033,124.99,9.04,147.34719839805,44.85513860093,8.20576939539025E+017,147.34692110261,0.0135,44.8549727869,0.0097,0.7022,0.019,37.0406,57.863,-44.229,0.016,-37.308,0.016,2403.93,0.14,35.32,31,23,1.058,442802,94.839,11.571843,221623,87.2091,11.974505,318943,10.988613,0.985892,131.07,0.72,5,5500,3.5,,1.2376577739368E+018,,0.002765,0.002823,0.003789,11.571843,0.002765,442802,0.034083,174.505714440711,49.7936214909705,0.915091044115338,0.08802113300149,-217.625490801585,-282.124896160585,-160.093621457217,9.18017111409475,1.45204289283662,0.009656337684304,-237.755551223448,132.867948937352,-280.010310345352,0.922570752684888,3.04604973765292,214.882496387908,-283.957402944968,586.781243453466
121506030,149.361299,44.933442,3.4,20.03,41.49,60.06,49.39,None,1.42761115344062,3.88936E-05,None,13.29,12.75,12.44,13.72,12.96,11.4,10.96,None,149.361299,44.933442,5173.45,366.13,2.91,0.57,-1.337,0.339,-45.54,11.66,149.36132069771,44.93345164231,8.20416170323231E+017,149.36123553072,0.0101,44.93338415723,0.008,0.5444,0.0139,39.0794,20.361,-13.566,0.012,-15.184,0.01,726.65,0.055,3.749,31,23,0.986,152568,35.9464,12.728708,75423.5,31.1973,13.144775,110490,12.139586,1.005189,-37.02,2.26,11,5000,3,1.61921493612621E+017,1.23765820557459E+018,,0.002767,0.002826,0.003797,12.728708,0.002767,152568,0.06529,173.94429120305,51.177179964839,1.14514299909988,0.121485219237302,-83.9253709834754,-146.255630869774,-54.7809453902784,9.45486596305281,1.41885160978189,0.012999092304978,-93.1233873681369,41.1669377018607,-145.15235124856,1.15586160462747,3.0363039645426,82.009421894384,-147.078676587447,392.322333426337
121702221,189.2789,49.719228,11.1,47.6,75.45,100.57,75.54,None,0.954438030162696,2.65851E-05,None,13.03,12.4,12.16,13.47,12.62,11.15,10.7,None,189.2789,49.719228,5180.37,51.52,3.079,0.085,-1.191,0.05,-120.76,7.97,189.27891276925,49.71922575737,1.54437056633811E+018,189.27874438203,0.0065,49.71920036978,0.0075,0.9654,0.0112,86.252,25.153,-24.495,0.008,-5.712,0.01,895.88,0.047,3.624,31,30,0.964,199655,44.9065,12.436666,100478,50.3957,12.833361,141939,11.867642,0.965718,-117.56,0.81,19,5000,3,1.67661892788334E+017,1.23765820451271E+018,,0.002766,0.002843,0.003796,12.436666,0.002766,199655,0.030798,128.923261489231,67.2420793536001,0.251753114961488,0.311741993920151,-89.6429357685664,-84.8672710635502,3.95071683557948,8.51126992453581,1.45833204060348,0.036868177581399,-91.6819264583544,-14.3234275855165,-81.5053761412821,0.402506111204107,2.25570078096476,86.4522287306635,-87.8582720314742,326.660075111907
121715138,191.135386,52.834857,6.79,37.11,74.35,105.1,81.72,None,2.07186881427224,3.43905E-05,None,13.08,12.49,12.2,13.52,12.72,11.14,10.67,None,191.135386,52.834857,4963.95,65.08,2.218,0.107,-1.925,0.063,-15.64,10.31,191.13538857805,52.83485619101,1.56987789607216E+018,191.1353324084,0.0074,52.83479467521,0.008,0.4344,0.0112,38.8141,15.807,-7.635,0.01,-13.841,0.01,616.07,0.045,2.92,31,29,0.934,192975,43.0415,12.473616,95260.4,49.2839,12.891261,140307,11.880195,1.011066,-5.85,1.62,10,5500,3.5,1.71401911352623E+017,1.23765763006772E+018,,0.002766,0.002846,0.003807,12.473616,0.002766,192975,0.006318,125.33066172084,64.2612623743522,0.578118841194657,0.815580711151964,0.414277369404532,-160.490920499983,63.2388914191572,9.05651542811893,1.33978178890201,0.092644677445231,0.426500756765929,-64.8571794920731,-159.840989007571,1.0033316965583,2.19254479333309,-15.2470792245687,-159.509280324491,396.911451028124
122216050,88.44469,61.411083,6.19,45.02,96.98,135.95,112.85,None,0.333306259649995,2.10813E-05,None,99,0,10.99,0,9.5,9.05,8.89,None,88.44469,61.411083,4944.15,53.46,2.061,0.088,-1.056,0.051,-109.53,6.32,88.4446198911,61.41106137208,2.82563050843772E+017,88.44470442985,0.0097,61.41110433145,0.0095,0.8755,0.0209,41.8654,13.277,9.102,0.011,9.666,0.012,4558.2,0.149,65.29,31,21,1.34,663136,93.2143,11.133361,287221,96.2905,11.693002,540925,10.415053,1.277948,-96.19,0.22,20,5000,4.5,,,,0.00276,0.002814,0.003783,11.133361,0.00276,663136,0.143697,151.940773581248,17.1197615674098,0.96329104228106,0.513468898994587,29.6922806861195,13.5459118509634,64.0616532457807,9.1838229572173,1.53417695325449,0.055976884443635,32.7283583753266,-62.8982846210539,11.8634814300218,1.09245805095784,2.65229710801771,-28.8846421313732,15.4412437362495,231.592589835333
122511061,121.83979,4.027245,22.02,79.89,129.47,162.45,122.6,None,0.524461817945406,3.46907E-05,None,99,99,99,99,10.34,9.84,9.76,None,121.83979,4.027245,5113.01,37.66,2.377,0.062,-1.86,0.036,262.17,10.4,121.83982415122,4.0272697997,3.09461203943547E+018,121.83986001959,0.0169,4.02712742733,0.0109,0.6073,0.0198,30.6305,33.03,8.05,0.02,-32.034,0.013,1343.51,0.114,20.81,31,18,1.139,407933,96.613,11.660895,202091,104.547,12.074677,296748,11.066928,1.007749,262.56,0.52,15,5500,3.5,,1.2376583000549E+018,,0.002767,0.002846,0.003793,11.660895,0.002767,407933,0.151695,218.107111270609,18.7096138527118,1.22719916586304,-0.962493042446713,139.850127468611,-209.3207192015,-55.6797133102933,9.49091488524403,1.51511501934504,-0.101744906435266,157.039792546818,64.5265227165021,-194.033705829791,1.56085629969586,-2.4771120183348,-117.903142555698,-222.189951490593,457.456495658909
