h,m,s,RA,d,m,s,DEC,F60,F100,Td,B,M
4,40,20.32,70.0846666666667,45,12,36.8,45.2102222222222,4.9004,23.223,23.3579230957261,8.39744978686834E-16,2.62465339352529E+028
4,40,19.95,70.083125,45,11,9.7,45.1860277777778,4.8348,22.769,23.3935895156916,8.4768722300832E-16,2.59867076795982E+028
4,40,22.2,70.0925,45,9,42.5,45.1618055555556,5.0315,22.565,23.6755852824998,9.12280207659841E-16,2.41338037691184E+028
4,40,21.08,70.0878333333333,45,8,3.5,45.1343055555556,5.845,22.914,24.4879867972691,1.11668442865696E-15,1.97042104725358E+028
4,40,23.71,70.0987916666667,45,2,15.1,45.0375277777778,4.9721,22.856,23.5322985220515,8.79058859374009E-16,2.49769452084662E+028
4,40,24.84,70.1035,45,0,36.1,45.0100277777778,4.916,22.833,23.4728021254586,8.6550811562824E-16,2.53525045796029E+028
4,40,11.69,70.0487083333333,45,14,3.8,45.2343888888889,4.8216,23.188,23.274661472586,8.21400949854043E-16,2.6847030739465E+028
4,40,11.7,70.04875,45,12,28.8,45.208,4.7587,22.789,23.2985304062673,8.26631599607015E-16,2.66615887137244E+028
4,40,11.71,70.0487916666667,45,11,5.6,45.1848888888889,4.668,22.538,23.2524332370682,8.16550103067655E-16,2.69769665897853E+028
4,40,13.59,70.056625,45,9,26.6,45.1573888888889,4.6713,22.023,23.3873788652549,8.46300581735613E-16,2.60127888648508E+028
4,40,13.59,70.056625,45,7,55.6,45.1321111111111,5.0248,22.147,23.7774165494145,9.36397689459089E-16,2.34967636610868E+028
4,40,13.23,70.055125,45,6,16.6,45.1046111111111,5.2378,22.588,23.9064936480709,9.67579495945107E-16,2.27256869267126E+028
4,40,14.36,70.0598333333334,45,5,1.3,45.0836944444445,5.143,22.982,23.6966657771601,9.17238107248204E-16,2.39618387661596E+028
4,40,15.86,70.0660833333333,45,3,38.2,45.0606111111111,4.9546,22.918,23.4963883461694,8.70863021964239E-16,2.52249294628246E+028
4,40,15.12,70.063,45,2,3.1,45.0341944444445,4.7811,22.256,23.460014348619,8.6261417381788E-16,2.5451216316182E+028
4,40,15.5,70.0645833333333,45,0,28.1,45.0078055555556,4.7769,22.172,23.4766666580934,8.66383970896964E-16,2.53256244905596E+028
4,40,19.61,70.0817083333333,44,59,8.9,44.9858055555556,4.8142,23.029,23.3048595831494,8.28022362542236E-16,2.64859874603875E+028
4,40,2.3,70.0095833333333,45,15,22.9,45.2563611111111,4.9205,23.201,23.3866081561086,8.46128614127633E-16,2.60750999791528E+028
4,40,1.94,70.0080833333333,45,13,59.7,45.23325,4.8305,23.011,23.3284299118086,8.33215639467341E-16,2.64656834160588E+028
4,40,3.08,70.0128333333334,45,12,0.9,45.20025,4.7884,22.827,23.3243187529468,8.32308236191022E-16,2.64752078289548E+028
4,40,3.09,70.012875,45,11,1.5,45.18375,4.692,22.333,23.333056129384,8.34237527477618E-16,2.64043379794219E+028
4,40,4.6,70.0191666666667,45,9,22.6,45.1562777777778,4.4806,21.668,23.2433833009109,8.14580733009546E-16,2.70250642815596E+028
4,40,5.36,70.0223333333333,45,7,39.6,45.1276666666667,4.5275,21.834,23.2590447750346,8.17990893313825E-16,2.68953464820831E+028
4,40,5.37,70.022375,45,6,16.5,45.1045833333333,4.639,22.121,23.322727374447,8.31957171769395E-16,2.64303210619239E+028
4,40,6.13,70.0255416666667,45,5,1.2,45.0836666666667,4.9028,22.634,23.5076622860638,8.7343050231111E-16,2.51636484368055E+028
4,40,5.77,70.0240416666667,45,3,22.2,45.0561666666667,4.8655,22.523,23.4920108547074,8.69867487575117E-16,2.52513077077035E+028
4,40,7.28,70.0303333333333,45,1,59.1,45.0330833333333,4.6433,21.866,23.3938893724696,8.47754210455698E-16,2.58967021191867E+028
4,40,7.66,70.0319166666667,45,0,20.1,45.0055833333333,4.6449,21.676,23.4457201231378,8.59387074854383E-16,2.55305582315422E+028
4,40,9.53,70.0397083333333,44,59,8.8,44.9857777777778,4.6826,22.333,23.3216886118215,8.31728070820381E-16,2.63679646493868E+028
4,39,52.93,69.9705416666667,45,15,18.8,45.2552222222222,4.9827,23.149,23.4712640718119,8.651596988521E-16,2.55008792239939E+028
4,39,53.7,69.97375,45,13,43.7,45.2288055555556,4.9046,23.005,23.4165408114208,8.52824876810307E-16,2.58546100423056E+028
4,39,53.71,69.9737916666667,45,12,8.7,45.2024166666667,4.8982,22.908,23.4332291413974,8.56573780971118E-16,2.57264351188257E+028
4,39,54.86,69.9785833333333,45,10,17.8,45.1716111111111,4.7008,22.28,23.357182161275,8.39580523615565E-16,2.62292551962924E+028
4,39,55.99,69.9832916666667,45,9,10.5,45.1529166666667,4.4667,21.57,23.2514109525118,8.16327480269087E-16,2.69652298028352E+028
4,39,56.75,69.9864583333333,45,8,3.2,45.1342222222222,4.4367,21.459,23.2425181983949,8.14392645984094E-16,2.70181029954082E+028
4,39,57.15,69.988125,45,6,20.3,45.1056388888889,4.5434,21.607,23.3379614029987,8.35321984839624E-16,2.6324471463305E+028
4,39,57.16,69.9881666666667,45,4,45.2,45.0792222222222,4.7041,22.09,23.409959763264,8.51349556142957E-16,2.58137579663048E+028
4,39,57.18,69.98825,45,3,18.1,45.0550277777778,4.7174,22.064,23.4328223629221,8.56482268881972E-16,2.56452902447739E+028
4,39,59.06,69.9960833333333,45,2,6.9,45.03525,4.5138,21.514,23.3253570021951,8.32537332283606E-16,2.63713033359939E+028
4,40,0.94,70.0039166666667,45,0,31.9,45.0088611111111,4.4876,21.728,23.2366086683496,8.13108609800786E-16,2.69856073838636E+028
4,40,1.33,70.0055416666667,44,58,45,44.9791666666667,4.462,22.232,23.0765696323005,7.78856453858548E-16,2.81537801783437E+028
4,40,1.34,70.0055833333333,44,57,41.6,44.9615555555556,4.65,23.299,23.0455050710203,7.72323872664933E-16,2.83807979931103E+028
4,39,45.06,69.93775,45,14,58.8,45.2496666666667,5.0135,23.314,23.4658705391365,8.63938646706114E-16,2.5533786097045E+028
4,39,45.45,69.939375,45,13,27.7,45.2243611111111,4.979,23.195,23.4556197561721,8.61621168247105E-16,2.55881456139444E+028
4,39,45.1,69.9379166666667,45,12,4.5,45.20125,4.8627,22.905,23.3924426661785,8.47431052054211E-16,2.60033202543135E+028
4,39,46.61,69.9442083333333,45,10,41.4,45.1781666666667,4.6597,22.214,23.3241831280542,8.32278312882609E-16,2.64632243371855E+028
4,39,47.76,69.949,45,9,6.4,45.1517777777778,4.4777,21.431,23.3017792586375,8.27345298824539E-16,2.66054607579126E+028
4,39,48.15,69.950625,45,7,23.5,45.1231944444444,4.3816,21.131,23.2588829037719,8.17955597619612E-16,2.6893841560371E+028
4,39,49.29,69.955375,45,6,24.1,45.1066944444444,4.4137,21.299,23.2553919868471,8.17194662190434E-16,2.69090406031118E+028
